"","Total","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72"
"Detected",1.10778755663172,0.0708094596273431,0.0351381662932869,0.0174367659164061,0.00865272260136344,0.00429377841048738,0.00213421561450914,0.00108242350707851,0.00059171081860322,0.000380213682284529,0.000301601066069576,0.000283464561092429,0.000292498280712569,0.000314291127990043,0.000342918126447034,0.000376219674835242,0.000413524596238082,0.000454782236133867,0.000500232901727572,0.000550251380293565,0.000605276518322922,0.000665804170155214,0.000732384587170736,0.000805623045887809,0.00088618535047659,0.000974803885524249,0.00107228427407667,0.00117951270148434,0.00129746397163278,0.00142721036879605,0.00156993140567566,0.00172692454624323,0.00189961700086755,0.0020895787009543,0.00229853657104973,0.00252839022815471,0.00278122925097018,0.0030593521760672,0.00336528739367392,0.00370181613304131,0.00407199774634544,0.00447919752097998,0.00492711727307798,0.00541982900038578,0.00596181190042436,0.0065579930904668,0.00721379239951348,0.00793517163946482,0.00872868880341131,0.00960155768375244,0.0105617134521277,0.0116178847973405,0.0127796732770745,0.014057640604782,0.0154634046652601,0.0170097451317862,0.0187107196449648,0.0205817916094613,0.0226399707704074,0.0249039678474481,0.0273943646321929,0.0301338010954122,0.0331471812049535,0.0364618993254488,0.0401080892579937,0.0441188981837931,0.0485307880021724,0.0533838668023896,0.0587222534826286,0.0645944788308915,0.0710539267139806,0.0781593193853787,0.0859752513239166,0.0945727764563082
"Infected",1102.58619816719,3.65022727260708,1.82166116674041,0.93429542758576,0.520015894256097,0.329445305915445,0.248097448352603,0.219835438386189,0.218191942073406,0.230003771156804,0.24896586922485,0.272304949749857,0.298961777488487,0.328657744704966,0.361457895092775,0.397589547361384,0.437347280238467,0.481081818565557,0.529189959164466,0.58210894750747,0.640319842258217,0.704351826484038,0.774787009132442,0.852265710045687,0.937492281050255,1.03124150915528,1.13436566007081,1.24780222607789,1.37258244868568,1.50984069355425,1.66082476290967,1.82690723920064,2.0095979631207,2.21055775943277,2.43161353537605,2.67477488891366,2.94225237780502,3.23647761558553,3.56012537714408,3.91613791485849,4.30775170634434,4.73852687697877,5.21237956467665,5.73361752114431,6.30697927325874,6.93767720058462,7.63144492064308,8.39458941270739,9.23404835397813,10.1574531893759,11.1731985083135,12.2905183591449,13.5195701950594,14.8715272145653,16.3586799360219,17.994547929624,19.7940027225864,21.7734029948451,23.9507432943296,26.3458176237626,28.9803993861388,31.8784393247527,35.066283257228,38.5729115829508,42.4302027412459,46.6732230153705,51.3405453169075,56.4745998485983,62.1220598334581,68.3342658168039,75.1676923984843,82.6844616383327,90.952907802166,100.048198582383
"Missed",1101.41811989722,3.57860502542385,1.78611966732401,0.916658513901534,0.511263809811228,0.325101517119242,0.245934242004752,0.218733843202446,0.217585166247167,0.229609710548558,0.248650211781359,0.272006510241521,0.298653001650652,0.328325623541705,0.361095392221095,0.397191794468065,0.436910072304307,0.480600985615457,0.528661070755728,0.581527175118065,0.639679892629871,0.703647881892858,0.774012670082144,0.851413937090359,0.936555330799394,1.03021086387933,1.13323195026727,1.24655514529399,1.37121065982339,1.50833172580573,1.65916489838631,1.82508138822494,2.00758952704743,2.20834847975217,2.42918332772739,2.67210166050013,2.93931182655015,3.23324300920516,3.55656731012568,3.91222404113824,4.30344644525207,4.73379108977728,5.207170198755,5.72788721863051,6.30067594049356,6.93074353454291,7.62381788799721,8.38619967679693,9.22481964447662,10.1473016089243,11.1620317698167,12.2782349467984,13.5060584414782,14.856664285626,16.3423307141887,17.9765637856075,19.7742201641683,21.7516421805851,23.9268063986436,26.319487038508,28.9514357423588,31.8465793165947,35.0312372482541,38.5343609730795,42.3877970703875,46.6265767774263,51.2892344551689,56.4181579006858,62.0599736907544,68.2659710598298,75.0925681658128,82.6018249823941,90.8620074806335,99.9482082286969
